question_text,option1,option2,option3,option4,correct_option
What is the capital of France?,Paris,London,Berlin,Madrid,1
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,2
"Who wrote ""Romeo and Juliet""?",William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,1
What is the chemical symbol for water?,O2,H2O,CO2,NaCl,2
Which is the largest continent?,Africa,Antarctica,Asia,Europe,3
What is the powerhouse of the cell?,Nucleus,Cell wall,Chloroplast,Mitochondria,4
Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Claude Monet,Vincent van Gogh,1
What is the square root of 64?,6,7,8,9,3
What is the boiling point of water in Celsius?,50,,150,200,2
Which gas do plants primarily use during photosynthesis?,Oxygen,Hydrogen,Carbon Dioxide,Nitrogen,3
What is the capital of Italy?,Rome,Venice,Florence,Milan,1
Which element's chemical symbol is 'Au'?,Silver,Gold,Copper,Iron,2
What is the largest planet in our Solar System?,Earth,Jupiter,Saturn,Neptune,2
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,2
What is the longest river in the world?,Amazon River,Ganges,Nile,Yangtze,3
Which country is known as the Land of the Rising Sun?,China,Thailand,South Korea,Japan,4
What is the freezing point of water in Celsius?,0,10,-5,32,1
Who invented the telephone?,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Guglielmo Marconi,2
What is the capital of Germany?,Munich,Berlin,Frankfurt,Hamburg,2
What is the square of 12?,134,122,144,132,3
Which organ pumps blood in the human body?,Lungs,Liver,Heart,Kidney,3
"Which is stronger, bronze or iron?",Bronze,Iron,Equal,Depends,2
Which gas is the most abundant in Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,2
Who was known as the Iron Lady?,Queen Victoria,Angela Merkel,Indira Gandhi,Margaret Thatcher,4
How many continents are there?,5,6,7,8,3
What is the speed of light?,"200,000 km/s","400,000 km/s","300,000 km/s","500,000 km/s",3
Which ocean is the largest?,Atlantic,Pacific,Indian,Arctic,2
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Leonardo da Vinci,Donatello,1
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,3
What is the chemical symbol for Sodium?,S,Na,N,So,2
What is the smallest prime number?,1,2,3,0,2
What is the nearest star to Earth?,Proxima Centauri,Sun,Alpha Centauri,Sirius,2
What is the capital of Russia?,Moscow,St. Petersburg,Kazan,Novosibirsk,1
What does DNA stand for?,Deoxyribonucleic Acid,Ribonucleic Acid,Nitric Acid,Amino Acid,1
Which is the third planet from the Sun?,Venus,Earth,Mars,Mercury,2
What is the national bird of the USA?,Bald Eagle,Golden Eagle,Pigeon,Sparrow,1
What is the chemical formula for table salt?,H2O,CO2,NaCl,O2,3
What is the hottest planet in the solar system?,Mercury,Venus,Mars,Jupiter,2
What is the capital of China?,Shanghai,Beijing,Shenzhen,Chengdu,2
When did World War II end?,1942,1945,1943,1950,2
What is the primary color of the sky during the daytime?,Blue,Red,Green,Yellow,1
Who is the author of 'Harry Potter'?,J.R.R. Tolkien,George R.R. Martin,J.K. Rowling,C.S. Lewis,3
What is the tallest mountain in the world?,Mount Kilimanjaro,Mount Everest,K2,Makalu,2
How many days are there in a leap year?,365,366,364,367,2
What is the capital of Spain?,Barcelona,Madrid,Seville,Valencia,2
Which country gifted the Statue of Liberty to the USA?,Germany,France,UK,Italy,2
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,3
Which planet has the most moons?,Earth,Mars,Saturn,Jupiter,4
What is the chemical symbol for Iron?,Ir,Fe,I,In,2
Which two colors make green?,Blue and yellow,Red and blue,Yellow and red,White and black,1
What is the name of Earth's natural satellite?,Moon,Phobos,Europa,Titan,1
What is the main gas found in the Sun?,Nitrogen,Hydrogen,Oxygen,Helium,2
What is the capital of Brazil?,Rio de Janeiro,São Paulo,Brasília,Salvador,3
What is the largest mammal on Earth?,Elephant,Blue Whale,Great White Shark,Giraffe,2
How many legs does a spider have?,6,8,10,12,2
What is the capital of the USA?,New York,"Washington, D.C.",Los Angeles,Chicago,2
What does USB stand for?,Universal Serial Base,Universal System Bus,Unique Serial Bus,Universal Serial Bus,4
What is the name of the galaxy we live in?,Andromeda,Milky Way,Whirlpool,Sombrero,2
Which is the smallest ocean in the world?,Indian Ocean,Pacific Ocean,Arctic Ocean,Atlantic Ocean,3
What is the chemical symbol for gold?,Au,Ag,Gd,Go,1
Which animal is known as the ship of the desert?,Horse,Camel,Elephant,Donkey,2
What is the fastest land animal?,Cheetah,Lion,Tiger,Deer,1
How many planets are there in the Solar System?,7,8,9,10,2
What is the deepest ocean?,Indian,Pacific,Atlantic,Arctic,2
Which bird can mimic human speech?,Parrot,Sparrow,Crow,Pigeon,1
What is the capital of Japan?,Osaka,Kyoto,Tokyo,Nagoya,3
What is the process by which plants make their food called?,Respiration,Digestion,Photosynthesis,Transpiration,3
Which country is known for the Great Wall?,China,India,Japan,Korea,1
Who invented the light bulb?,Alexander Graham Bell,Isaac Newton,Thomas Edison,Benjamin Franklin,3
What does HTTP stand for?,Hypertext Transfer Process,Hypertext Transfer Protocol,Hypertext Transmission Protocol,High Transfer Text Protocol,2
How many colors are there in a rainbow?,5,6,7,8,3
Who wrote the play 'Hamlet'?,Mark Twain,Charles Dickens,J.K. Rowling,William Shakespeare,4
What is the capital of England?,London,Manchester,Liverpool,Bristol,1
What is the smallest unit of life?,Cell,Atom,Nucleus,Molecule,1
What are animals that eat plants called?,Carnivores,Herbivores,Omnivores,None of these,2
What is the most widely spoken language in the world?,English,Chinese,Spanish,Hindi,2
What is the name of the currency used in Japan?,Won,Yen,Rupee,Dollar,2
What is the hardest mineral?,Iron,Diamond,Gold,Quartz,2
What is the chemical formula of carbon dioxide?,CO3,C2O,CO2,C2H5,3
What is the national sport of Canada?,Lacrosse,Hockey,Soccer,Baseball,1
Who invented Penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Gregor Mendel,1
Which is the smallest bird in the world?,Sparrow,Hummingbird,Robin,Parrot,2
What is the capital of South Korea?,Seoul,Busan,Daegu,Incheon,1
What is the highest rank in the US military?,General,Admiral,Major,Colonel,1
How many valves does the human heart have?,2,3,4,5,3
What is the square root of 81?,7,8,9,10,3
What is the capital of Egypt?,Alexandria,Cairo,Luxor,Giza,2
Which is the largest desert in the world?,Sahara,Gobi,Kalahari,Arctic Desert,1
What is the main ingredient in guacamole?,Onion,Tomato,Avocado,Pepper,3
Who painted 'Starry Night'?,Vincent van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci,1
Who discovered gravity?,Galileo Galilei,Isaac Newton,Albert Einstein,Nicolaus Copernicus,2
How many strings does a standard guitar have?,4,5,6,7,3
What is the capital of New Zealand?,Auckland,Wellington,Christchurch,Dunedin,2
What does RAM stand for?,Random Access Memory,Read Access Memory,Real Access Memory,Remote Access Memory,1
